year,antimicrobial_class,mg_per_pcu
2014,Tetracyclines,147.4
2014,Amphenicols,3.8
2014,Penicillins,90.9
2014,1st-2nd-Gen-Ceph.,0
2014,3rd-4th-Gen-Ceph.,0.4
2014,Sulfonamides,37.7
2014,Trimethoprim,5.4
2014,Macrolides,25.5
2014,Lincosamides,25.5
2014,Fluoroquinolones,10.1
2014,Other_quinolones,0.8
2014,Aminoglycosides,18
2014,Polymyxins,36
2014,Pleuromutilins,13.8
2014,Others,3.8
2014,Total,418.8
2015,Tetracyclines,134.9
2015,Amphenicols,4.6
2015,Penicillins,92.6
2015,1st-2nd-Gen-Ceph.,0.1
2015,3rd-4th-Gen-Ceph.,0.3
2015,Sulfonamides,45.4
2015,Trimethoprim,8.8
2015,Macrolides,23.7
2015,Lincosamides,18.6
2015,Fluoroquinolones,9
2015,Other_quinolones,0.8
2015,Aminoglycosides,15.1
2015,Polymyxins,34.9
2015,Pleuromutilins,9.9
2015,Others,3.4
2015,Total,402
2016,Tetracyclines,117.5
2016,Amphenicols,3.5
2016,Penicillins,92.4
2016,1st-2nd-Gen-Ceph.,0.1
2016,3rd-4th-Gen-Ceph.,0.3
2016,Sulfonamides,37.3
2016,Trimethoprim,7.2
2016,Macrolides,17.5
2016,Lincosamides,15.4
2016,Fluoroquinolones,8.5
2016,Other_quinolones,0.8
2016,Aminoglycosides,27.5
2016,Polymyxins,22
2016,Pleuromutilins,9.3
2016,Others,3.2
2016,Total,362.5
2017,Tetracyclines,63.1
2017,Amphenicols,6.2
2017,Penicillins,58.5
2017,1st-2nd-Gen-Ceph.,0.03
2017,3rd-4th-Gen-Ceph.,0.2
2017,Sulfonamides,14.8
2017,Trimethoprim,2.5
2017,Macrolides,10.1
2017,Lincosamides,44.4
2017,Fluoroquinolones,4.9
2017,Other_quinolones,0.3
2017,Aminoglycosides,12.2
2017,Polymyxins,4.4
2017,Pleuromutilins,7.4
2017,Others,1.3
2017,Total,230.3
2018,Tetracyclines,62.2
2018,Amphenicols,5.6
2018,Penicillins,68.7
2018,1st-2nd-Gen-Ceph.,0
2018,3rd-4th-Gen-Ceph.,0.4
2018,Sulfonamides,9.4
2018,Trimethoprim,1.6
2018,Macrolides,10
2018,Lincosamides,19.3
2018,Fluoroquinolones,5.6
2018,Other_quinolones,0
2018,Aminoglycosides,22.1
2018,Polymyxins,3.3
2018,Pleuromutilins,4.9
2018,Others,6.1
2018,Total,219.2
2019,Tetracyclines,30
2019,Amphenicols,6
2019,Penicillins,40.4
2019,1st-2nd-Gen-Ceph.,0.2
2019,3rd-4th-Gen-Ceph.,0.3
2019,Sulfonamides,9.1
2019,Trimethoprim,1.3
2019,Macrolides,10.1
2019,Lincosamides,12.5
2019,Fluoroquinolones,3.6
2019,Other_quinolones,0
2019,Aminoglycosides,8.8
2019,Polymyxins,0.9
2019,Pleuromutilins,2.4
2019,Others,1.2
2019,Total,126.7
2020,Total,154.3
2021,Tetracyclines,36.5
2021,Amphenicols,7.7
2021,Penicillins,53.2
2021,1st-2nd-Gen-Ceph.,0.04
2021,3rd-4th-Gen-Ceph.,0.3
2021,Sulfonamides,11
2021,Trimethoprim,2
2021,Macrolides,10.8
2021,Lincosamides,15.9
2021,Fluoroquinolones,3.3
2021,Other_quinolones,0.4
2021,Aminoglycosides,11.4
2021,Polymyxins,0.4
2021,Pleuromutilins,2.9
2021,Others,1.4
2021,Total,157.2
2020,Tetracyclines,34.7
2020,Amphenicols,6.4
2020,Penicillins,52.7
2020,1st-2nd-Gen-Ceph.,0.1
2020,3rd-4th-Gen-Ceph.,0.4
2020,Sulfonamides,12.1
2020,Trimethoprim,2.1
2020,Macrolides,11
2020,Lincosamides,15.4
2020,Fluoroquinolones,3.7
2020,Other_quinolones,0
2020,Aminoglycosides,10.9
2020,Polymyxins,0.4
2020,Pleuromutilins,2.8
2020,Others,1.5
2022,Tetracyclines,28.1
2022,Amphenicols,5.4
2022,Penicillins,44.2
2022,1st-2nd-Gen-Ceph.,0.03
2022,3rd-4th-Gen-Ceph.,0.2
2022,Sulfonamides,9.8
2022,Trimethoprim,1.9
2022,Macrolides,5.2
2022,Lincosamides,15.6
2022,Fluoroquinolones,3.3
2022,Other_quinolones,0.02
2022,Aminoglycosides,9.7
2022,Polymyxins,0.4
2022,Pleuromutilins,1.3
2022,Others,2.2
2022,Total,127.4
