public_isolate_id,dataset,cluster,posterior_probability,assigned
EC00001,Indicator,I-FQ,0,FALSE
EC00001,Indicator,I-LowR,0.9960472403517876,TRUE
EC00001,Indicator,I-MDR,8.636369485758122e-5,FALSE
EC00001,Indicator,I-MDR+FQ,0,FALSE
EC00001,Indicator,I-TriR,0.00386639595335505,FALSE
EC00002,3GCR,3G-FQ,0.0068440261734736,FALSE
EC00002,3GCR,3G-LowR,1.451591958233737e-20,FALSE
EC00002,3GCR,3G-MDR,0.00104809788841205,FALSE
EC00002,3GCR,3G-MDR+FQ,0.9921078759381144,TRUE
EC00003,3GCR,3G-FQ,0.0068440261734736,FALSE
EC00003,3GCR,3G-LowR,1.451591958233737e-20,FALSE
EC00003,3GCR,3G-MDR,0.00104809788841205,FALSE
EC00003,3GCR,3G-MDR+FQ,0.9921078759381144,TRUE
EC00004,3GCR,3G-FQ,0.9728507612273848,TRUE
EC00004,3GCR,3G-LowR,1.0830346098498288e-4,FALSE
EC00004,3GCR,3G-MDR,9.020462833931589e-5,FALSE
EC00004,3GCR,3G-MDR+FQ,0.02695073068329047,FALSE
EC00005,3GCR,3G-FQ,1.443122729997003e-4,FALSE
EC00005,3GCR,3G-LowR,9.623498467970171e-24,FALSE
EC00005,3GCR,3G-MDR,2.368539598399082e-4,FALSE
EC00005,3GCR,3G-MDR+FQ,0.9996188337671604,TRUE
EC00006,3GCR,3G-FQ,9.543408077406803e-11,FALSE
EC00006,3GCR,3G-LowR,1.338938705248491e-13,FALSE
EC00006,3GCR,3G-MDR,0.6516058957825273,TRUE
EC00006,3GCR,3G-MDR+FQ,0.34839410412190447,FALSE
EC00007,3GCR,3G-FQ,0.1960537052525073,FALSE
EC00007,3GCR,3G-LowR,2.8456685202626195e-15,FALSE
EC00007,3GCR,3G-MDR,7.885601065916579e-4,FALSE
EC00007,3GCR,3G-MDR+FQ,0.8031577346408983,TRUE
EC00008,Indicator,I-FQ,6.744380288521769e-5,FALSE
EC00008,Indicator,I-LowR,2.1612379777303715e-183,FALSE
EC00008,Indicator,I-MDR,6.309394958284783e-5,FALSE
EC00008,Indicator,I-MDR+FQ,0.9998694622475324,TRUE
EC00008,Indicator,I-TriR,9.98668315403862e-111,FALSE
EC00009,Indicator,I-FQ,0,FALSE
EC00009,Indicator,I-LowR,0.08452775702359588,FALSE
EC00009,Indicator,I-MDR,0.01687001190002929,FALSE
