dataset,K,n_restarts,ICL_best,ICL_median,ICL_q25,ICL_q75,BIC_best,BIC_median,best_ICL_restart,BIC_for_best_ICL,logLik_for_best_ICL,mean_max_post_best_ICL,median_max_post_best_ICL,pct_post_ge80_best_ICL,min_cluster_n_best_ICL,cluster_sizes_best_ICL,ARI_all_restarts,ARI_top10_ICL,deltaICL,deltaBIC,selected_by_ICL,selected_by_BIC
Indicator,2,100,29012.9877238364,29013.2487800134,29013.1298295963,29013.4598014307,28559.3775114593,28559.3956940792,53,28559.390462194,-14202.8305882008,0.943095605852293,0.998572895633436,0.878407350689127,1618,1618;1647,1,1,2009.16991618963,1981.26246373013,FALSE,FALSE
Indicator,3,100,27849.5689509742,28344.9350961877,27851.1296207027,28345.3027989797,27459.4253306712,27715.3501297127,7,27459.4374539182,-13612.3990088543,0.948369385645388,0.992896687278333,0.882388973966309,893,907;893;1465,0.761499208130284,1,845.751143327456,881.31028294205,FALSE,FALSE
Indicator,4,100,27335.9436829459,27355.565012299,27355.3092711448,27355.8876260545,26750.2859176559,26750.4560345489,28,26750.4408706622,-13217.4456420178,0.924213908913737,0.989827033052351,0.801225114854518,663,709;965;928;663,0.956193350513649,0.995340457900985,332.125875299094,172.170869926773,FALSE,FALSE
Indicator,5,100,27039.6538825983,27115.3786584309,27082.631093284,27314.7107144881,26618.0314056708,26618.2152526399,64,26618.5035536468,-13111.0219083015,0.94438867678826,0.992252710334917,0.919448698315467,357,661;357;773;544;930,0.862368354393459,0.999507170930715,35.8360749515596,39.9163579416199,FALSE,FALSE
Indicator,6,100,27037.5589069511,27391.0516389676,27312.1603886418,27446.1112327265,26578.1150477292,26599.7169329309,92,26624.4154492495,-13073.5227808943,0.94491457082888,0.992747146305816,0.923430321592649,230,318;230;929;656;774;358,0.712415889473354,0.791591025937627,33.741099304294,0,FALSE,TRUE
Indicator,7,100,27003.8178076468,27599.1391734185,27498.5094936117,27636.8034483763,26581.2128723877,26602.4252504612,58,26594.9017357274,-13018.3108489247,0.945556871821346,0.981707300119579,0.92281776416539,221,230;930;221;564;675;347;298,0.65298359100965,0.977559295637882,0,3.09782465851822,TRUE,FALSE
Indicator,8,100,27251.993057894,27678.5843985181,27526.7318591627,27849.0152562209,26600.8192227178,26639.1971012361,14,26684.0986794536,-13022.4542455792,0.923954833737658,0.967782510998957,0.884839203675345,134,417;218;356;601;614;572;353;134,0.637952353246879,0.713358383352361,248.17525024723,22.7041749886084,FALSE,FALSE
Indicator,9,100,27297.4646107099,27740.3395081817,27580.075801452,27905.4693212058,26609.6417251572,26667.6956083786,25,26675.5527139641,-13018.1812628345,0.916604765117682,0.956100576369964,0.887901990811639,134,356;613;228;563;353;134;601;417,0.644376667266933,0.691359619196241,293.646803063079,31.526677428028002,FALSE,FALSE
Indicator,10,100,27324.5262365464,27867.034570724,27686.1122975773,28107.321123195,26602.4109637903,26705.1373426269,90,26666.8510117896,-12973.3753365387,0.913721196605562,0.95579861458053,0.846554364471669,70,564;216;454;303;295;70;239;220;904,0.650671751225679,0.72897239805071,320.708428899674,24.2959160611608,FALSE,FALSE
3GCR,2,100,35700.8546614873,35701.6086769654,35701.1547015014,35702.0032928949,35328.1404270984,35328.1524494775,6,35328.1404270984,-17593.0215501421,0.962035288735478,0.99577189678189,0.95476915865948,1119,1119;3148,1,1,1485.04271094818,2195.93829535771,FALSE,FALSE
